,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41
E3.3.460,0.8253816608449691,1.2374879221586352,0.8020989829013411,0.3828884737831423,0.4077660647608017,0.6491902921730088,0.07544029845289064,0.42913675165503923,0.7740727457798396,0.45153584383466444,0.03880946261699209,0.32091701395530425,0.8868449193895344,0.3416151734447394,0.7535794180159938,0.6186976456030198,0.7174528715991129,0.10890739373443352,0.48355246879200015,0.04228034571176924,0.6328348874066428,0.3729938519613465,0.18016403707451992,0.37923466900675473,0.38378965186644776,1.1428281191855285,0.9170385608922943,0.8704334798032827,1.3239985245633452,1.1331643875392936,0.11170283316206794,0.16873432679566142,0.28849403759382075,0.1483642341393585,0.6901697256865617,0.16600661857255564,0.30466250475944784,0.13671416765055286,0.24291559503544244,0.0580997234085866
E3.4.462,1.034888040050809,1.0786093493132065,0.5558758748217799,0.22465076449060417,0.4321092855044588,0.5785501956990977,0.07744107201268347,0.5926442525202915,0.2164194981400955,0.29612945923134093,0.37015332067835,0.20585665225486044,1.0376182188877998,0.28365689641218345,0.5670826788242157,0.5919176329617521,0.6670502393028932,0.3380369262691362,0.5118195058467054,0.10481192099514976,0.229261956289981,0.424524473922682,0.14371426668681503,0.3177027546739496,0.2913505632476311,0.8872370579411702,0.673407064863367,0.872599014352482,1.0243132609223276,0.8797572437782732,0.3669261591537262,0.14835160893715443,0.6671110780832841,0.6000166049218019,0.6717534003498257,0.23619006027634754,0.8333553217143739,0.1794441497423824,0.3555534923087077,0.4321067646096334
E3.4.463,0.855994238725275,0.8293961041108533,0.7164016803483139,0.15892225596543397,0.271228245420295,0.526301010986316,0.026016600052686165,0.24661195488865825,0.7393341908058351,0.31064296322125695,0.6993243659921011,0.17765131659145267,1.0491134918229104,0.2853120981834527,0.600454690370548,0.5162559830718121,0.6888503701056171,0.047416529553368676,0.7514795006611076,0.061156544084011326,0.21111896798941426,0.5789938386693161,0.1263514998043459,0.27391069865007284,0.26109925389924804,0.9049232817715294,0.5696759538953075,0.7977597046560858,1.1341018847686037,0.8407237737386725,0.7317192990662924,0.15536411685190668,0.45654608651358247,0.7976581466959254,0.7258496832947076,0.6759412644918099,0.21289056761307837,0.1483790014234751,0.7113761296493029,0.1277509254424209
E3.4.465,1.088101071169889,1.00530169141609,0.5837863872133919,0.12181012800865446,0.3028230523281304,0.4916497300871304,0.08062201598243403,0.7720880802085933,0.5090088411176054,0.3201942301380373,0.5420435471652248,0.1811986707753525,1.1534117515667894,0.3303662342564549,0.47755164121013316,0.5323038613905466,0.6942883857675348,0.052739683942723596,0.3540957305732905,0.051554107034762854,0.735391047016944,0.7720922314426171,0.1510436712983864,0.39051200121967555,0.30073558452200977,0.824784411455099,0.629570465026671,0.3276503399538803,0.8227557662825162,0.9386669486607316,0.7251702063300995,0.16976270609926686,0.7851501377665262,0.7009501732057519,0.6381696752065843,0.2947232754713074,0.4674945745593179,0.1106506325741671,0.37463486991870565,0.19515184961457377
E3.45.3374,0.5972859399732794,0.8827423409199593,0.5201166827662075,0.1564506933150825,0.28585636948413096,0.5068249225022051,0.22359197041523599,0.4612652630813772,0.7615967003055727,0.3877021449610618,0.5520637302177235,0.25360301851475203,0.7516456491085888,0.40958550839087693,0.626207575170387,0.6174585125813163,0.9906714500089752,0.18816952614905597,0.7071481439876441,0.10618462879179556,0.5478100888906366,0.8011953570905468,0.3644608966059038,0.41989459052129047,0.4092450467952452,0.9544855021737655,0.5986404395458407,0.6705099520132998,1.0653242057035597,0.8225431956323037,0.3160713272082021,0.14686766037348045,0.5880176473968125,0.3650570472418852,0.41988641001586774,0.15026608386967166,0.3611627115847843,0.18255545619494867,0.4306580796562745,0.39917693225492296
E3.45.3375,0.5642700721185006,0.841963444775554,0.6116764227810989,0.32069152439461224,0.36029261255622635,0.40287290293141576,0.12276664522859966,0.5228337300606535,0.3245618108206869,0.3692726694717872,0.7933476030017266,0.17341810127573043,0.6361321608620143,0.415370328514048,0.5634820689897108,0.6729062401198422,0.9732704664368188,0.34915787967447853,0.4650766758485565,0.11605166024414697,0.4868812431924473,0.3275231359246933,0.32842437878825503,0.34011055817490476,0.3692512414806353,0.8177619877229648,0.5144108929170524,0.5318655732185466,0.8317426689066362,0.7045372449765679,0.2636976966858718,0.3015812986583094,0.4010632055277631,0.6586673838575925,0.6963335924909957,0.6324249137353376,0.6964354668506677,0.3645716474614857,0.6024175155279133,0.5308828151690785
E3.45.3376,0.6717755148347839,0.9508516629011612,0.6812455479064876,0.2865172425603971,0.284602838700494,0.587317144558167,0.15634844804310252,0.08386799337933981,0.1948179506905105,0.6150365106513761,0.24474848320471565,0.23556002709603563,0.9037828846545729,0.3573766338107445,0.8646610245915268,0.6046111551140576,1.043784127372441,0.327742008860886,0.45156449760328704,0.052726901708361446,0.5849513398066074,0.5418197355351828,0.3880933387898699,0.43966308463389747,0.41419409150669295,1.1630391249672491,0.8098924912861788,0.8573675989495503,0.8742061872685475,0.2899540131551498,0.10169542519040352,0.1360296289378325,0.6846072604902653,0.42039346824682017,0.545112606070471,0.3365960540368328,0.6121502368788589,0.3704623437662601,0.5315291730405489,0.29930643375637467
E3.45.3377,0.5452768907035623,0.7232852135844512,0.5828383463439797,0.15129547218606373,0.10099404753776883,0.5067280191697703,0.16799864269376677,0.5148882354173773,0.5117774802437731,0.38793608950522973,0.21715788010639653,0.19841344461073,0.812863902275615,0.3927588407291774,0.7293346070132963,0.6318964233942113,0.9925252789343713,0.37166669907808164,0.12475736221225586,0.09097031880987619,0.19647880488491082,0.7537979639560318,0.36317504152562313,0.466315469564043,0.4246014819246805,0.9976215018791019,0.708130725231883,0.7643472508090859,1.1478393517270138,0.8337243999497994,0.3480790986495961,0.3507054058528013,0.13956899600253844,0.5885595685764924,0.6578223970612643,0.6019550134898044,0.6154266092479529,0.35180755104562983,0.5569338458709683,0.37774566530085085
E3.45.3378,0.5686949706624038,0.7603896654188378,0.7109614936647463,0.34778290846034154,0.3076273602848812,0.5743267007405856,0.19246148022966814,0.39009835113182095,0.29847771892649666,0.43230874596230234,0.1457593401647463,0.19708640138984254,0.7998690208397684,0.3865881027437806,0.7717007956353091,0.6277040540437441,0.9850621934274946,0.18154224143543587,0.4245456932125988,0.08312979026130889,0.515623315293096,0.5959328406459404,0.12746904121759706,0.41433825387955286,0.412625527718211,0.9889100844168033,0.7181830094129111,0.7647247789866791,1.0660423578949778,0.8498473806459211,0.7045890221655978,0.1728886086594276,0.5999761284508535,0.2807827944198185,0.20033165308455578,0.6200973458707755,0.7019563934699016,0.35810753628506325,0.6666640326002654,0.05479192648257054
E3.45.3379,0.6263754080197235,0.9660048963705568,0.6746345241372306,0.3519881523463279,0.4647148715092385,0.4617958724647411,0.21828131160852293,0.5383174865649389,0.2815018173547612,0.5488559292627421,0.1832079894928678,0.273820129894932,0.7752457544250271,0.451114033403389,0.6796536396174799,0.6372474081800137,0.9796593838338923,0.2268738170396373,0.4435317163945187,0.09117959549957622,0.639768520375887,0.47262519796549063,0.35970643947776443,0.33319237373451505,0.3844545813099745,0.9129576239800612,0.7493670370101224,0.7393139938339506,1.0158567856625378,0.7984010046514529,0.4089516753349238,0.33197256508307293,0.034448141496628275,0.638101707426334,0.3076619080380413,0.49910894003507167,0.15516971555320777,0.36139504814612794,0.7922080313424473,0.19133618308522782
