,Histidine,Malate,dUMP,Citrate,Glucose-1-phosphate,Ornithine,Citrate_Cyto,Glutamine,dCDP,Glucose,Methionine,AMP,DolichylphosphateD-mannose,Lactate,2OG,GMP,Hypoxanthine,UDP-N-acetylglucosamine,Propanoyl-CoA,Acetyl-CoA,Putrescine,Deoxyadenosine,Succinate,Cholesterol,Succinyl-CoA,(Glc)3(GlcNAc)2(Man)9(Asn)1,B-Alanine,Lysine,Cysteine,UMP,Pyruvate,Arginine,Pyrimidine,IMP,Choline,Glutathione,Glutamate,Leucine,G3P,Citrulline,ItaconicAcid,Argininosuccinate,Isoleucine,Xanthine,Threonine,3PD,Valine,UDP-glucuronicacid,dTMP,G6P,Proline,Aspartate,Oxaloacetate,Serine,dCMP,XMP,Spermine,(GlcNAc)4(Man)3(Asn)1,AICAR,GABA,Glycine,CDP,"(E,E)-Farnesyl-PP",(Gal)1(GlcNAc)1(Man)1(Ser/Thr)1,PRPP,Dolichylphosphate
E3.49.3403,-0.2400046154757981,0.14900430784632557,0.6955486286863899,-0.29753482719842195,0.3653202125012385,0.18652056517409865,-0.007587638496473037,-0.07042346039372349,0.43078098982502927,0.49590494480867786,0.7505188692614793,0.07838221990192906,0.1149300143965791,-0.12390075237867598,-1.3470006316970566,-0.4872526254732714,-0.4667046810094313,0.5681425222486481,0.43941282023903616,0.11082541809154617,-0.5291766069528795,0.2623308671593423,-2.0130526087575205,1.537214405257516,-0.4821631435435372,-0.15409176643495903,-2.1908410993524408,0.21218328179320195,-2.160454234867615,0.1240209235280958,-0.6517397857401969,-0.19013841650877777,-0.7609263889612317,0.4860356261363248,0.6687200379438554,1.0873393079290272,0.36239581345845334,-0.09014862578979077,0.056669432190899816,-0.08405224235052855,0.36034056658053204,-0.2760380294058157,0.3233713101988814,0.5759207580215158,0.18853936732197374,-0.035973351703178835,-0.4400577349393859,-0.2053122793026455,-0.5001805198936489,0.618954953192552,-0.35371125818229515,0.06988206813324882,-0.47588343391036175,2.338572886297255,-0.6379008175406586,0.7365840547532185,-0.7402592958452145,0.7151401400122834,-0.6356529891688222,-0.5644232962947964,-3.1709743956819416,0.02540036841647375,-0.026698846184413094,1.138956164164464,0.41622166872336974,0.00920740079847257
E3.49.3405,0.23037680878222605,-0.43058661364230955,0.5931859138167084,-0.4605182428162573,0.05671630535838057,0.11043135703558793,0.07354776905745508,-0.2869680106331778,0.7697389793783492,0.3584395830079221,0.7665851355725306,0.12315129598985308,-0.5656067347621604,-0.27375555699840337,-0.5052994439760976,-0.00044889779906864824,0.6300362430900783,0.453611287530998,-0.6561447724083922,0.19434432752210162,0.08500559734815938,-0.3098572864883587,-0.9721904388135858,0.7155244581659019,-0.7884872012488165,-0.2393690754053402,-3.398792105441035,-0.4534387768580632,-0.7909225548503,-0.08075754422636161,-1.5288677620945363,-0.40093243111325316,-0.30011612587645153,0.7111640903490049,-0.4198420900231121,-0.7814042715199201,1.1170317012158442,-0.027682383438017766,-0.12958754075539192,-0.18943339044895469,-0.34143335227487237,-0.001963295913824714,0.36595813466552357,0.43733519803888854,-0.3941639828872763,0.5681323664341047,-0.47159491716481144,0.22262571209623022,0.06249815994349356,0.6294347426267888,-0.49816499716948565,-0.4760374593800032,0.15422906822654858,1.4100424475606843,-0.7362441486691931,-0.5521429782268981,0.06973164815187405,0.1981779749695669,-0.27481199837456993,-0.6736354572429608,1.7839798910468216,0.006182866230528383,0.6878833949073918,1.5927158174817564,0.8384952228714866,1.100728488592893
E3.49.3406,-0.8292430255251552,-0.2691589083693141,0.747439167086396,0.006347235441777954,0.18010022944617432,-0.31627450810562535,0.24972946480802216,-0.14731846959285466,0.631223131762433,0.4151344415119511,0.6729169870880836,-0.43103988186228426,-0.4883360696892675,0.500025710424394,-1.5644730286810449,-0.32287883599673367,-0.4639557374809833,0.5993013620155327,0.3095309067839773,0.043406693784502015,-0.026670761845179386,0.3580352359610889,-0.6651393373776056,1.188756581133486,-1.1295823935174463,-0.32232624180145397,-2.67973875537897,-0.5499023837650507,-1.4262037467970168,-0.5384181115532586,-1.8414381750984983,-0.8140323396769202,-0.7686849360977763,0.12323279593369119,0.062147765212846595,-0.467630010070494,1.6284043833851891,0.02355453514454453,0.04186369529169376,-0.2789767668145804,-0.27221957667135177,-0.2641268256494159,-0.08026199677996695,1.1013568951537507,0.22624402883570371,0.7847659472492182,-0.05628706980530637,-0.5398083220798953,-0.2595617240945587,0.5145621252401988,-0.5575367540960967,0.33851605862703504,-0.7398901656298121,2.478171221790367,-0.12147328996157843,1.1872659992422696,-0.030395879588589914,0.6479961928575311,0.0008865177788777434,-0.6273356212613975,-1.695696036336875,-0.10957060934819415,1.6174152609491068,1.3455477408072032,0.7892660228160269,0.29750066712243917
E3.49.3407,1.1330092789154178,-0.1725208128215126,0.9187022632191156,-0.10161376701498304,0.05226169084133969,-0.36834298501720614,0.17090029708407783,0.19593709874072252,0.5647004053466047,0.12335112085836997,0.92015748203359,0.034804740699788006,0.11942764974146247,-0.36039723822279873,-1.2493189651531615,-0.30180581655738853,-0.3947211634794401,0.7182975330331469,-0.2220031715850841,-0.7527200294739085,0.25521682499010145,0.3429008996670252,-1.3569772570559404,0.6423905099569147,-1.959428305050174,-0.08948216914512125,-2.947360072282981,0.21133314156682934,-2.074505173675158,0.5756870801395755,-1.061385574303383,-0.5492833490878182,-0.8064283262473393,0.10337906396145202,-0.5527493478309642,0.4962442476739275,-1.8029782972872983,0.06438154593471879,0.006108971561678445,0.05319374649879682,0.4078187170714111,-0.39492803316161607,0.9949831323873795,0.6370701334283978,-0.09100630639555196,-0.12434623671129308,-0.47187175819039523,-0.01500971906906634,-0.06719410112129143,0.02923673511955549,0.38623743873613187,2.6585645927792685,-1.4975000114126038,2.008825499601085,-0.4490181537545219,0.28130634111901154,0.18868446999527444,0.9922983435784454,-0.38176700546746023,-1.061512829561826,-1.5132289373780132,-0.45488706145291147,1.4595920407025815,0.7905841621517167,0.517797805835448,0.05330663225892873
E3.49.3408,1.5395866322045277,0.01675373498441357,1.0580649951285825,0.4500208681384965,1.0954533808691198,-0.22925428786310342,0.11293310376297416,0.2974171645349286,1.6731774224960443,0.041143093749454795,-0.3230100657855881,-0.3992519682366211,-0.06102706716143558,-0.34388751780980686,0.5448844951242455,-0.34971438458708587,-0.2181729309025272,0.2337190281218433,-0.24023261389224992,-2.1032796162912804,0.6453893613705539,-0.15127393763639146,-1.6115589405284858,1.0033084623530666,-1.272197249088886,-0.5259307130589918,-2.897790534164785,0.028201575595971695,-1.846850421396896,-0.1989574114497732,-0.15530658931110886,-0.4920100037344508,-0.658562202562073,1.0311000073391532,-0.22924682562264553,0.4969998536255318,-0.9253056657804558,0.3776895594729144,0.01596972675801922,-0.11392746560298184,-0.5352976738556346,-0.4100193430814546,0.5488474804571506,0.6098241522786373,0.1904492793481296,-0.1367369968405593,-0.6324272692142787,-0.5579420903741538,-0.07572449897498934,0.738881682651297,-0.8450697566519687,2.634954424215436,-1.5888640223806705,2.618658056049888,-0.7355107271425987,0.2988461519126645,0.04287441357161714,1.1396530604974084,-1.0092153677926536,-1.5142372743217563,-0.8742818484894551,-0.5810186135408096,1.434817216096661,0.9256807806301964,0.8654860232819894,0.028238472252279823
E3.49.3409,0.9945920402571263,-0.8335120406748908,0.7334797851951036,-0.29703207906710727,0.11271816974274337,0.47760695788524554,0.0011516802698414708,-0.12299328467130888,0.3639062558950477,0.3148241352673069,1.0749834524578834,-0.18460101094217585,-0.7257494887075729,-0.4795852344923205,-1.900961402825813,-0.0286641742271459,-0.24332363330222673,0.8222137558672439,0.44568441161618044,-0.4444045901499572,-0.15552413560255296,0.39331054311260283,-1.2319972062761417,1.4771966133564476,-0.643638308924996,-0.31950206240923457,-3.801604981911534,-0.5465770226933027,-0.22756782968995637,0.20450154703385715,-0.24280662077784054,-0.8844140669064879,-0.10687940848786459,-0.16768914223054132,-0.8454896758565188,-0.7196836084409766,1.6238549616794256,-0.10745709215472399,0.0634967373965476,-0.08519941948615362,-0.3283613945339148,0.05086371961501701,-0.042691367557647436,0.2170980038756377,-0.02106995254455879,0.12584094646627897,-0.4342523869046162,0.1593970247334966,-0.148320927977303,0.1384591564058817,-0.07320392498957007,0.9668045729742367,-0.6482678925185087,0.9803491152594228,-0.48449733601187905,0.12557297925566094,-0.9320213859428068,0.27955391998547485,-0.5710313177203803,-0.26631180842117363,1.3797387929708411,-0.015771760423448855,-0.15646220343894418,1.3136957377103786,0.9383569262373781,1.1302576916440434
E3.49.3410,-0.14007504707052443,-0.2864006547424532,0.7290686500633466,-0.8312108855340394,0.9089153411260653,-0.591391546758043,0.19975494122673965,0.03326233723733374,-0.3975113282655192,0.04022229148942502,0.973465164697292,0.0751466228333344,-0.202346948366523,-0.016009970131478868,-0.37265892821693514,-0.07703648170543831,0.603301712088351,0.1174634491742414,-0.21068971259621283,-1.0543216520697687,1.1475132636196486,-0.3479295747789454,-0.2830771864751168,1.8366818231841395,-1.115513066137979,0.12413571391760886,-2.017123894690402,-0.03948813694785064,-2.174704669523363,-0.06534169194236095,-0.2299896807332853,-0.49167928842634,-0.241246622867826,0.37469921831992314,0.28865654899590454,0.17467408871483547,-0.40454467358568275,0.19810052287647562,0.1800844459411457,-0.15811923560862695,0.22868253774582376,-0.002964784453642899,-0.7269829439718964,-0.41184959247389125,0.15717038175758558,-0.18530929160240694,-0.7443795800294845,-0.6655784786786871,0.6028688893255668,0.2703598913005476,-0.5787524916549981,0.6854604771679593,-0.9033666562480781,3.1828153430633828,-0.03414313359240532,-0.3637979556031454,-0.6856109729027959,0.2890854283048727,-0.1804171957377298,-1.0062522726346692,-2.707689754443689,0.0679062154750269,0.3275715111111497,1.3709893562483462,0.3859320582000305,0.7102486637600391
E3.49.3411,0.24939626568857642,-0.9688710930407516,0.31315212349765326,-0.16696880224616217,-0.20613340961452442,-0.04768868844083812,-0.002458619991990485,0.1550047517844355,1.1949283186485007,0.2609347452162405,1.0008566787814717,-0.3686895731823725,-0.34666081875239696,-0.604282378271321,-0.7302727708125396,-0.2622710458978498,0.27212469220235624,0.8281674170934015,-0.37715683321854687,-2.0511713759612378,-0.1692576730937138,-0.46003819634841403,-0.7643235310057418,0.5397422096698952,-1.3908874946645957,-0.38456538743368185,-3.450607692464369,0.06856594220769219,-1.356047149312254,0.5179290777987323,0.814796793986031,-0.9690406790111425,-1.0218056303218837,-0.11414783112291671,-0.6209324582495478,-0.24266195456526196,0.36848888667678636,0.3812023804150577,0.1207381303709707,-0.07591267536456292,-0.007079524651250502,-0.5010608483769508,0.8445178604620507,0.7114604644156437,0.2293954863032115,-0.11028768574041647,-0.4779508889217514,0.05980142091497431,0.35509065829958997,0.5676890335195846,-0.4646551628483788,2.1791320112136354,-0.677493898936948,1.2224483023581691,-0.7698304129169289,1.2010279939875357,-0.25901476224762365,1.3677607986342022,-0.46691413849760444,-1.1537603246864265,-0.5337068422350065,-0.7526861173907132,1.4517246447387098,1.0608236106695283,0.35055146068595233,0.0875905148117283
E3.50.3412,0.06743412992716136,-0.31647916860353587,0.7174484353849653,0.18396223989467586,0.5050672160525642,-0.7653012340912747,0.14589828849001307,0.3511995230512457,1.3996634862240602,0.5435574015187372,1.210494272135184,-0.29691688559082685,-0.48824164180915586,-0.2861443103022616,-0.7429864095979655,-0.5715742332853474,-0.35540673836054004,0.29024659831659794,0.9253180893369899,-0.5482412526581437,0.25321635386174673,0.6354171232198684,-1.8529913227589185,1.0536081481247361,-0.8916042135851827,-0.7237539212966432,-3.1620989877632963,0.06737278367104382,-2.3217428008271277,0.6114424041589723,-1.6589223513618432,-0.7038988497836958,-0.5332626875677362,0.30063384786174785,0.10980714104337702,0.46371726027842364,-1.113368413367926,0.2708879569637759,0.056271289849117334,0.1401138452910966,-0.1693870616207449,-0.0699597967499257,-0.09187463367637258,1.258637095879894,-0.09380835567428991,0.7384141639571957,-0.05999132226322892,-0.6335375647885676,0.3586870559238047,0.19652477550851444,-0.8825955677997169,2.456871973220949,-1.4947519384940953,2.948742122462066,-0.8772960342501697,0.20992066154178693,-0.7021298249222986,1.6100112866070382,-0.24141191472016982,-0.5389853575700008,-1.0625486700990137,-0.7689501610472824,1.8879759800785307,1.5607965813828786,0.9545762276456462,0.5028438185788275
E3.50.3413,0.6977807780603804,-0.2115072909021839,0.670280578823752,0.21632109773588093,-0.7569113332570696,-1.0200776898490322,0.11843119036677408,0.28619293858555617,-0.040190307427795724,-0.18517034884094508,1.0792418919389335,-0.3116602060401332,0.1508170210697809,-0.2798550042411452,-0.9726241769249466,-0.8664050326225508,0.05955659640326566,0.5503989364826761,-0.17651720651212166,-2.1357896349177383,1.7589018217605632,-0.1860485788278805,-1.5617210124483583,0.9864228389532306,-0.7150646972056623,-0.8638566270345753,-2.094451611647557,-0.5907790389999497,-2.117053079419812,0.3461258253406515,-1.3973053501928194,-0.322763717027432,-0.4000333279086306,0.0625787224794978,0.10379079180521958,0.6640202884776101,-1.0809182015757142,0.4890570912686334,-0.31345479419338496,0.1438314789720465,0.1262769051217608,-0.3806177248715119,0.2531904620848686,0.6153858368364521,0.15105779307546907,-0.10066707786011808,-0.40632747345137377,0.06626269035472596,-0.33578933024368957,1.091465249803852,0.3099779525399084,3.175904185778082,-2.7503211786970967,2.16512284110879,-0.5062883464728013,0.9676326267449803,-1.329540423227424,1.8112620025083157,0.07243504989134841,-0.9454226675169071,-1.0881059147932926,0.0015584741448646522,1.974911019375634,0.6940729968011281,0.8039143024902158,-0.17286081868569925
